Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500325,RELIANCE,A,2119.8,2119.8,2077.05,2081.75,437199,9167.74,19487
532174,ICICIBANK,A,369.55,373,367.1,371.15,1700101,6285.13,17770
500112,SBIN,A,198,201.5,197.5,198.35,2789851,5570.04,16039
500180,HDFCBANK,A,1060.25,1088.25,1060.25,1085.7,441279,4777.35,10649
505537,ZEEL,A,199.5,204.25,189.25,192.15,2255158,4389.82,16577
500247,KOTAKBANK,A,1339,1351.45,1332,1339.55,316397,4254.49,6625
532555,NTPC,A,102.3,107.85,101.7,105.95,4037038,4244.87,17551
532454,BHARTIARTL,A,529,529.4,517.6,520,788876,4124.71,9958
500034,BAJFINANCE,A,3416.25,3439.7,3380.65,3390.1,117057,3995.9,11835
500820,ASIANPAINT,A,1880.5,1971,1880.5,1958.35,203246,3927.37,11873
532488,DIVISLAB,A,3245,3333.6,3222.9,3247.3,108401,3556.59,7064
532755,TECHM,A,731.8,736.7,730,732.45,484039,3553.77,4313
532500,MARUTI,A,7026,7064.35,6952,6975.4,39539,2766.04,5583
524804,AUROPHARMA,A,858,872.3,851.65,856,319923,2753.94,11191
500570,TATAMOTORS,A,123.95,124.3,120.2,120.95,2204272,2687.69,11964
532827,PAGEIND,A,19246,20504.8,18991.35,20304.8,13608,2620.62,2248
500470,TATASTEEL,A,436.7,442,426.6,428.9,593352,2583.88,7086
500875,ITC,A,198.85,199,196.35,196.9,1259484,2489.69,11952
500400,TATAPOWER,A,62.85,63.45,61.65,61.9,3957789,2467.47,10448
500469,FEDERALBNK,A,54.9,56.2,54.65,55.9,4260372,2369.33,10822
505200,EICHERMOT,A,21600,21833,21492.8,21718.7,10761,2332,4552
532187,INDUSINDBK,A,517,521.25,512.6,513.55,421037,2177.84,9223
533278,COALINDIA,A,139.5,141.75,139,139.5,1417235,1991.18,14564
524715,SUNPHARMA,A,525,538.5,525,532.7,369347,1972.92,5493
500182,HEROMOTOCO,A,2960.15,3049.4,2958.55,3035.35,65008,1957.49,7416
500696,HINDUNILVR,A,2195.2,2209,2187.05,2203.15,88561,1948.78,5456
500547,BPCL,A,417.6,419,408.35,409.9,461481,1910.01,4442
517354,HAVELLS,A,641.6,644.5,630.15,632.65,279350,1773.13,2008
532281,HCLTECH,A,715,715.3,702.95,706.35,242260,1713.64,3765
531642,MARICO,A,373.15,377.65,373.15,376.1,454393,1708.35,1549
532215,AXISBANK,A,438.25,444.8,436.1,440.4,366975,1614.68,5721
500510,LT,A,1003,1008,991.75,994.05,160305,1600.99,8715
500790,NESTLEIND,A,16235.8,16683.7,16235.8,16556.65,9297,1534.36,4668
500302,PEL,A,1431.6,1450,1417.25,1423.65,105605,1508.83,3496
500010,HDFC,A,1797.2,1822.9,1787.05,1802,73700,1331.17,3798
500114,TITAN,A,1135,1142.45,1129.4,1137.6,114217,1297.45,4432
540065,RBLBANK,A,183,186.15,183,184.1,694198,1284.02,5940
532720,M&MFIN,A,136.2,136.8,133,133.3,947801,1271.82,5626
500300,GRASIM,A,671.5,683.1,669.4,678.15,183067,1243.37,2936
532540,TCS,A,2254,2270.3,2242,2248.2,54539,1227.03,3000
500087,CIPLA,A,769.95,770.75,759.1,761.15,160283,1225.85,2949
500086,EXIDEIND,A,171.7,173.6,169.5,170.75,706956,1220.89,1759
532898,POWERGRID,A,185,190.5,182.6,189.05,621826,1173.22,4556
500440,HINDALCO,A,201,203.1,195.55,196.2,568482,1132.05,3491
500477,ASHOKLEY,A,71.65,72.65,68.9,69.35,1575612,1110.79,5297
500257,LUPIN,A,990.3,1003.85,978,981.6,105916,1048.86,3394
532868,DLF,A,163,164,160.5,161.7,632435,1024.47,4979
500830,COLPAL,A,1439.75,1439.75,1408,1410.4,71757,1016.42,2127
500493,BHARATFORG,A,491.1,497.6,488.6,489.65,205173,1010.28,2156
511218,SRTRANSFIN,A,694,698,684,686.8,145708,1005.42,3140
500104,HINDPETRO,A,215.9,217.2,212,212.45,465391,995.47,3988
535789,IBULHSGFIN,A,207.95,207.95,202.3,203.1,480858,985.11,5849
507685,WIPRO,A,277.5,278.15,272.75,273.35,356060,980.66,6732
500228,JSWSTEEL,A,284,287.55,280.2,281.75,342771,974,3836
532978,BAJAJFINSV,A,6335,6363,6263,6282.15,15385,972.8,3666
508869,APOLLOHOSP,A,1702,1748.4,1666,1677.95,54179,931,3820
500209,INFY,A,960.1,963,946.7,948.85,96628,920.44,3161
532522,PETRONET,A,252.85,255.55,248.7,249.25,328447,824.77,3457
512070,UPL,A,496.1,504,491.05,493.55,158437,789.73,4736
500530,BOSCHLTD,A,13793,14370.7,13764.75,14202,5577,788.09,2094
539448,INDIGO,A,1210,1218.25,1166,1174.05,65659,781.55,3700
532514,IGL,A,417.95,422.05,413,416,185723,776.52,3813
500825,BRITANNIA,A,3885,3910.2,3865,3882.65,19179,745.06,2702
540777,HDFCLIFE,A,597.2,608.5,596.15,598.1,122103,736.15,5009
500520,M&M,A,622,622,608.1,610.05,114635,702.4,2519
532343,TVSMOTOR,A,450,461.45,446.95,453.05,149726,678.71,3272
570001,TATAMTRDVR,A,44,44.45,43.2,43.35,1526867,669.16,1957
530965,IOC,A,89.85,90.45,88.6,88.85,728402,652.58,3336
500295,VEDL,A,130,132.2,129.25,130.75,490464,640.63,3114
500312,ONGC,A,83.2,83.45,80.65,81.05,779300,640.09,3106
517334,MOTHERSUMI,A,122,122,116.85,117.5,533198,633.16,3839
534816,INFRATEL,A,199.8,201.2,197.5,199.45,315036,627.89,2836
500124,DRREDDY,A,4501,4521.95,4475,4489.25,13622,612,1872
532810,PFC,A,102.75,103.45,100.3,101.05,599460,611.25,4423
540719,SBILIFE,A,875.5,889,859,861,66819,585.29,3321
532134,BANKBARODA,A,48.25,48.8,47.7,48.3,1205922,581.6,6803
500550,SIEMENS,A,1211,1247.55,1211,1234.3,46200,571.3,2526
500331,PIDILITIND,A,1460,1478.6,1446.6,1456.65,38547,563.43,2635
540376,DMART,A,2290,2299,2255,2259.85,24361,553.94,3534
500575,VOLTAS,A,670.05,681.85,656.05,659.1,77823,521.62,2787
500387,SHREECEM,A,22200,22450,22146.65,22306.05,2288,509.78,857
532977,BAJAJ-AUTO,A,3040,3150,3038,3053.9,16039,490.72,1923
500800,TATACONSUM,A,551.95,554.85,544.05,545.4,80146,439.97,1957
532538,ULTRACEMCO,A,4165,4200,4142.6,4190.75,10456,437.27,2278
500096,DABUR,A,496.1,498.2,491.05,491.95,87197,430.6,3179
540133,ICICIPRULI,A,444.5,451.65,443.5,447.45,94537,423.21,3112
532955,RECLTD,A,115.2,115.85,112.4,112.75,351122,400.76,2997
500290,MRF,A,59999,60239.25,59386,59698.6,609,363.86,454
532155,GAIL,A,102.6,103.2,101.1,101.7,352129,359.16,1920
500253,LICHSGFIN,A,280,282.8,275.95,276.65,117051,327.72,1809
509480,BERGEPAINT,A,557.15,569.6,556.75,566.95,51639,291.85,1410
532777,NAUKRI,A,3317.35,3318.05,3220.05,3242.2,8112,266.12,1553
532523,BIOCON,A,397.6,398,392.8,394.1,63114,249.22,1189
531344,CONCOR,A,394,398.05,392.45,394.3,51138,202.09,1176
532424,GODREJCP,A,689.55,694.1,681.25,683.15,27325,187.46,1495
526371,NMDC,A,98.25,98.65,95.7,96.1,187857,182.42,952
500410,ACC,A,1421,1434.05,1416.5,1421.2,11260,160.47,945
500425,AMBUJACEM,A,224.85,228.5,224.5,225.95,70039,158.64,1029
500490,BAJAJHLDNG,A,2595,2691.7,2595,2649.15,4708,125.13,989
532921,ADANIPORTS,A,355,359.35,353.4,354.25,34076,121.25,747
539876,CROMPTON,A,267.7,267.7,261.35,263.9,14089,37.26,470
